Instance,Prufer-mean,NetKeys-mean,Prim-mean,Kruskal-mean,GPrim-mean
NIn7,26.298370003700256,39.85891978740692,28.22178945541382,34.240902519226076,42.96360929012299
NIn8,22.094298553466796,23.734411334991456,27.24915862083435,32.39605927467346,39.37705361843109
NIn9,57.27872495651245,126.14646530151367,65.50775072574615,80.89507117271424,118.88881778717041
NIn10,53.87492301464081,114.36234443187713,66.50055720806122,82.77555005550384,115.72659320831299
NIn11,236.11122920513154,1197.3007045745849,188.69356842041014,342.0645842552185,283.00506806373596
NIn12,238.22676780223847,1184.0608460903168,189.2120442390442,348.84908413887024,286.58314456939695
NIn13,35.96400265693664,56.0894061088562,40.98804311752319,46.07656970024109,76.55582699775695
NIn14,37.64150223731995,51.46392958164215,41.89794626235962,46.690307354927064,74.02792952060699
NIn15,143.6767472743988,154.6576218366623,102.90339691638947,122.36716294288635,253.15003571510314
NIn16,123.04954195022583,134.43052723407746,105.9751739025116,117.68631134033203,186.0210044145584
NIn17,558.8905161380768,1403.9011167526246,280.85091483592987,459.8618249177933,550.5879489183426
NIn18,585.0993692159652,1483.3941776752472,287.32593729496,477.241016292572,739.695397734642
