Instance,HMOEA-mean,Prufer-mean,NetKeys-mean,Prim-mean,Kruskal-mean,GPrim-mean
NIn19,364.90276567935945,161.9107411623001,166.52406063079835,119.41165554523468,125.903480386734,198.00608265399933
NIn20,124.16934778690339,75.43608012199402,74.48029041290283,110.19513828754425,111.2208324432373,179.77719645500184
NIn21,336.8937970638275,137.1167770385742,152.96008172035218,119.43224353790283,124.20157568454742,196.06221306324005
NIn22,272.9920739173889,128.6057042360306,134.57677476406099,104.7220964193344,108.46376774311065,184.19889469146727
NIn23,342.1450914621353,149.57677459716797,154.33538308143616,107.23677401542663,112.43127715587616,181.81471328735353
NIn24,368.57972621917725,153.73201937675475,168.86548492908477,121.67621374130249,128.43216269016267,204.1341146707535
NIn24,337.63834660053254,149.150097823143,156.28283708095552,118.01860289573669,125.0839465379715,197.70996611118318
NIn25,322.8707479000092,142.33089632987975,153.99184396266938,116.41751546859741,123.63719546794891,213.22998616695403
NIn25,379.5002858161926,162.3191982984543,175.17847232818605,121.31365649700165,128.87563378810881,202.9618483066559
NIn26,400.0357131242752,180.04697771072387,179.88290390968322,119.9028584241867,129.30193853378296,216.35148787498474
